major_pin,contract_number,region,project_title,project_status,status,bid_opening_date,federal_funding,state_funding,local_funding,type_of_work,public_friendly_description,contract_award_date,contract_award_amount,approved_cost_changes,current_award_amount,estimated_or_actual_completed_date,schedule_performance,cost_performance,in_future_development_start_date,construction_start_date,construction_end_date,construction_amount
0T2224,,10 LONG ISLAND,SAFETY ENHANCEMENTS,Safety enhancements on various state highways in Nassau and Suffolk Counties (locations and scope to be determined),Future Development,Fall 2024,Yes,Yes,No,Pavement: Three Course Overlay,"This project proposes includes, but is not limited to, minor pavement repairs and widening, new pavement striping, curb, sidewalk and handicap ramp installation, drainage improvements and repair of roadside elements including guiderail and signs. Nassau a",,,,,,,,Spring 2023,Winter 2024/2025,Summer 2025,6500000
0T2225,,10 LONG ISLAND,SAFETY ENHANCEMENTS,Safety enhancements on various state highways in Nassau and Suffolk Counties (locations and scope to be determined),Future Development,Spring 2025,Yes,Yes,No,Pavement: Three Course Overlay,"This project proposes includes, but is not limited to, minor pavement repairs and widening, new pavement striping, curb, sidewalk and handicap ramp installation, drainage improvements and repair of roadside elements including guiderail and signs. Nassau a",,,,,,,,Spring 2023,Summer 2025,Spring 2026,6500000
0T2229,,10 LONG ISLAND,NY135 BRIDGE REPLACEMENT OVER I495,"NY135 bridge replacement over I495 Town of Oyster Bay, Nassau county",Future Development,Summer 2027,Yes,Yes,No,Bridge: Replacement: Structural,"Project proposes to replace the bridge that carries NY Route 135 over I495. Located in Town of Oyster Bay, Nassau County.",,,,,,,,Summer 2025,Fall 2027,Summer 2028,35500000
0T2230,,10 LONG ISLAND,BRIDGE IMPROVEMENT,BRIDGE REPAIRS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Spring 2025,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)",This project proposes to provide upgrades to bridge at locations to be determined to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Summer 2023,Spring 2025,Spring 2026,8000000
0T2234,,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"CONCRETE & ASPHALT PAVEMENT REPAIRS, SINGLE COURSE OVERLAY (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2031,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to resurface pavement on state roadways in Nassau and Suffolk Counties, locations to be determined. The top layer of worn, deteriorated pavement will be removed and replaced with new asphalt and fresh pavement markings. Drainage clea",,,,,,,,Spring 2030,Summer 2031,Spring 2032,8000000
0T2237,,10 LONG ISLAND,I495 SOUND BARRIER REHAB EX 49-57,"Rehabilitate and replace sound barriers along I495 between exits 49 and 57 Town of Huntington and Islip, Suffolk County",Future Development,Spring 2025,No,Yes,No,Environmental Improvements/Mitigation,"Project proposes to rehabilitate and replace sound barriers along I495 between exits 49 and 57. Locations are in the Towns of Huntington and Islip, Suffolk County",,,,,,,,Spring 2023,Spring 2025,Spring 2026,13400000
0T2305,,10 LONG ISLAND,NY347 RECONST NSP TO OLD WILLETS,Reconstruct NY347 from Northern State Parkway to Old Willets Path,Future Development,Summer 2031,No,Yes,No,"Pavement: Reconstruction, Concrete","This project proposes to improve safety and mobility for vehicles, pedestrians, bicyclists and transit users by reconstructing 1.26 miles miles of NY347 from Northern State Parkway to Old Willets Path to improve safety, and travel for all users. Work will",,,,,,,,Spring 2028,Fall 2031,Winter 2034/2035,48500000
0T2373,,10 LONG ISLAND,I495 PAVEMENT REHAB EX 32 TO 48,"Pavement rehabilitation on I495 between exits 32 to 48 Towns of North Hempstead and Oyster Bay, Nassau County",Future Development,Fall 2026,Yes,Yes,No,Pavement: Single Course Overlay,"Project proposes to rehabilitate pavement on I495 between exits 32 to 48 Towns to provide a smooth and safe riding surface. Location is the Towns of North Hempstead and Oyster Bay, Nassau County.",,,,,,,,Summer 2024,Fall 2026,Fall 2027,14800000
0T2374,,10 LONG ISLAND,ASPHALT PAVEMENT REHAB,"Asphalt pavement rehabilitation on  Merrick Rd and NY106 between NY105 & the Walmart Driveway. Town of Hempstead, Nassau County.",Future Development,Fall 2023,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to provide upgrades to pavements to maintain their reliability, integrity and smooth driving surface, and to help assure the continued safety of the traveling public on Newbridge Road (NY106) between Jerusalem Avenue (NY105) and the",,,,,,,,Winter 2021/2022,Winter 2023/2024,Winter 2024/2025,10000000
0T2379,,10 LONG ISLAND,ASPHALT PAVEMENT REHAB,ASPHALT PAVEMENT REHABILITATION ON VARIOUS STATE HIGHWAYS ( LOCATIONS TO BE DETERMINED),Future Development,Spring 2025,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to provide upgrades to pavements at various locations to be determined to maintain their reliability, integrity and smooth driving surface, and to help assure the continued safety of the traveling public. Nassau and Suffolk Counties.",,,,,,,,Winter 2023/2024,Summer 2025,Spring 2026,10000000
0T2493,,10 LONG ISLAND,NY25/NY347 INTERCHANGE CONSTRUCTION,"Construct an interchange at the NY25 and NY347 intersection, Town of Smithtown, Suffolk county",Future Development,Summer 2029,Yes,Yes,No,Bridge: New,"This project will construct an interchange at the NY25 and NY347 intersection by overpassing NY347, Town of Smithtown, Suffolk County",,,,,,,,Summer 2026,Fall 2029,Winter 2032/2033,57000000
0T2514,,10 LONG ISLAND,SAFETY ENHANCEMENTS,Safety enhancements on various state highways in Nassau and Suffolk Counties (locations and scope to be determined),Future Development,Summer 2031,Yes,Yes,No,Pavement: Three Course Overlay,"This project proposes includes, but is not limited to, minor pavement repairs and widening, new pavement striping, curb, sidewalk and handicap ramp installation, drainage improvements and repair of roadside elements including guiderail and signs. Nassau a",,,,,,,,Summer 2029,Summer 2031,Summer 2032,6000000
0T2559,,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"Concrete pavement repair including joint sealing, diamond grinding at NY25 EB from NY25B to Roxbury Rd, and NY25 WB from Brush Hollow Rd to NY25B, Towns of North Hempstead and Oyster Bay, Nassau County.",Future Development,Spring 2024,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to recondition the existing concrete roadway to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public at Jericho Turnpike (NY25) Eastbound from Hillside Avenue (NY,,,,,,,,Fall 2022,Spring 2024,Fall 2024,4900000
0T2560,,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"CONCRETE PAVEMENT REPAIR INCLUDING JOINT SEALING, DIAMOND GRINDING ET AL(LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2025,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to recondition the existing concrete roadway at to be determined locations to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Winter 2023/2024,Spring 2025,Spring 2026,4900000
0T2561,,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"CONCRETE PAVEMENT REPAIR INCLUDING JOINT SEALING, DIAMOND GRINDING ET AL(LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2026,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to recondition the existing concrete roadway at to be determined locations to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Fall 2024,Spring 2026,Spring 2027,5000000
0T2562,,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"CONCRETE PAVEMENT REPAIR INCLUDING JOINT SEALING, DIAMOND GRINDING ET AL(LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2027,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to recondition the existing concrete roadway at to be determined locations to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Winter 2025/2026,Spring 2027,Spring 2028,5000000
0T2563,,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"CONCRETE PAVEMENT REPAIR INCLUDING JOINT SEALING, DIAMOND GRINDING ET AL(LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2028,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to recondition the existing concrete roadway at to be determined locations to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Winter 2026/2027,Spring 2028,Spring 2029,5000000
0T2564,,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"CONCRETE PAVEMENT REPAIR INCLUDING JOINT SEALING, DIAMOND GRINDING ET AL(LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2029,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to recondition the existing concrete roadway at to be determined locations to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Winter 2027/2028,Spring 2029,Spring 2030,5000000
0T2565,,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"CONCRETE PAVEMENT REPAIR INCLUDING JOINT SEALING, DIAMOND GRINDING ET AL(LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2030,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to recondition the existing concrete roadway at to be determined locations to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Fall 2028,Spring 2030,Spring 2031,5000000
0T2566,,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"CONCRETE PAVEMENT REPAIR INCLUDING JOINT SEALING, DIAMOND GRINDING ET AL(LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2031,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to recondition the existing concrete roadway at to be determined locations to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Fall 2029,Spring 2031,Spring 2032,5000000
0T2567,,10 LONG ISLAND,GUIDERAIL REHABILITATION,REPAIR AND REPLACE GUIDERAIL SECTIONS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2027,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public. Locations to be determined.",,,,,,,,Summer 2025,Summer 2027,Summer 2028,4000000
0T2568,,10 LONG ISLAND,GUIDERAIL REHABILITATION,REPAIR AND REPLACE GUIDERAIL SECTIONS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2028,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public. Locations to be determined.",,,,,,,,Summer 2026,Summer 2028,Summer 2029,4000000
0T2569,,10 LONG ISLAND,GUIDERAIL REHABILITATION,REPAIR AND REPLACE GUIDERAIL SECTIONS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2029,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public. Locations to be determined.",,,,,,,,Summer 2027,Summer 2029,Summer 2030,4000000
0T2570,,10 LONG ISLAND,GUIDERAIL REHABILITATION,REPAIR AND REPLACE GUIDERAIL SECTIONS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2030,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public. Locations to be determined.",,,,,,,,Summer 2028,Summer 2030,Summer 2031,4000000
0T2571,,10 LONG ISLAND,GUIDERAIL REHABILITATION,REPAIR AND REPLACE GUIDERAIL SECTIONS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2031,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public. Locations to be determined.",,,,,,,,Summer 2029,Summer 2031,Summer 2032,4000000
0T2572,,10 LONG ISLAND,GUIDERAIL REHABILITATION,REPAIR AND REPLACE GUIDERAIL SECTIONS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2025,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public. Locations to be determined.",,,,,,,,Summer 2023,Summer 2025,Summer 2026,4000000
0T2574,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"CLEAN BASINS FILLED W/DEBRIS, REPAIR, REPLACE OR PROVIDE MISSING COLLARS, REPAIR BASIN WALLS, CLEAN CLOGGED PIPES, REPAIR OR REPLACE BROKEN PIPES, REPLACE GRATES, REPLACE BASINS, CONNECT ISOLATED BASINS TO DRAINAGE SYSTEM IN NASSAU  & SUFFOLK COUNTY",Future Development,Summer 2025,Yes,Yes,No,Drainage: Rehab,This project proposes to repair and upgrade existing drainage systems at to be determined locations to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Winter 2023/2024,Fall 2025,Summer 2026,5000000
0T2575,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"CLEAN BASINS FILLED W/DEBRIS, REPAIR, REPLACE OR PROVIDE MISSING COLLARS, REPAIR BASIN WALLS, CLEAN CLOGGED PIPES, REPAIR OR REPLACE BROKEN PIPES, REPLACE GRATES, REPLACE BASINS, CONNECT ISOLATED BASINS TO DRAINAGE SYSTEM IN NASSAU  & SUFFOLK COUNTY",Future Development,Summer 2026,Yes,Yes,No,Drainage: Rehab,This project proposes to repair and upgrade existing drainage systems at to be determined locations to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Summer 2024,Fall 2026,Summer 2027,5000000
0T2576,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"CLEAN BASINS FILLED W/DEBRIS, REPAIR, REPLACE OR PROVIDE MISSING COLLARS, REPAIR BASIN WALLS, CLEAN CLOGGED PIPES, REPAIR OR REPLACE BROKEN PIPES, REPLACE GRATES, REPLACE BASINS, CONNECT ISOLATED BASINS TO DRAINAGE SYSTEM IN NASSAU  & SUFFOLK COUNTY",Future Development,Summer 2027,Yes,Yes,No,Drainage: Rehab,This project proposes to repair and upgrade existing drainage systems at to be determined locations to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Summer 2025,Fall 2027,Summer 2028,5000000
0T2577,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"CLEAN BASINS FILLED W/DEBRIS, REPAIR, REPLACE OR PROVIDE MISSING COLLARS, REPAIR BASIN WALLS, CLEAN CLOGGED PIPES, REPAIR OR REPLACE BROKEN PIPES, REPLACE GRATES, REPLACE BASINS, CONNECT ISOLATED BASINS TO DRAINAGE SYSTEM IN NASSAU  & SUFFOLK COUNTY",Future Development,Summer 2028,Yes,Yes,No,Drainage: Rehab,This project proposes to repair and upgrade existing drainage systems at to be determined locations to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Fall 2026,Fall 2028,Summer 2029,5000000
0T2578,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"CLEAN BASINS FILLED W/DEBRIS, REPAIR, REPLACE OR PROVIDE MISSING COLLARS, REPAIR BASIN WALLS, CLEAN CLOGGED PIPES, REPAIR OR REPLACE BROKEN PIPES, REPLACE GRATES, REPLACE BASINS, CONNECT ISOLATED BASINS TO DRAINAGE SYSTEM IN NASSAU  & SUFFOLK COUNTY",Future Development,Summer 2029,Yes,Yes,No,Drainage: Rehab,This project proposes to repair and upgrade existing drainage systems at to be determined locations to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Fall 2027,Fall 2029,Summer 2030,5000000
0T2579,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"CLEAN BASINS FILLED W/DEBRIS, REPAIR, REPLACE OR PROVIDE MISSING COLLARS, REPAIR BASIN WALLS, CLEAN CLOGGED PIPES, REPAIR OR REPLACE BROKEN PIPES, REPLACE GRATES, REPLACE BASINS, CONNECT ISOLATED BASINS TO DRAINAGE SYSTEM IN NASSAU  & SUFFOLK COUNTY",Future Development,Summer 2030,Yes,Yes,No,Drainage: Rehab,This project proposes to repair and upgrade existing drainage systems at to be determined locations to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Fall 2028,Fall 2030,Summer 2031,5000000
0T2580,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"CLEAN BASINS FILLED W/DEBRIS, REPAIR, REPLACE OR PROVIDE MISSING COLLARS, REPAIR BASIN WALLS, CLEAN CLOGGED PIPES, REPAIR OR REPLACE BROKEN PIPES, REPLACE GRATES, REPLACE BASINS, CONNECT ISOLATED BASINS TO DRAINAGE SYSTEM IN NASSAU  & SUFFOLK COUNTY",Future Development,Summer 2031,Yes,Yes,No,Drainage: Rehab,This project proposes to repair and upgrade existing drainage systems at to be determined locations to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Fall 2029,Fall 2031,Summer 2032,5000000
0T2581,,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,Preventative maintenance bridge repairs (locations to-be-determined) on various state highways & parkways in Nassau & Suffolk counties.,Future Development,Spring 2030,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)",This proposed project includes maintenance repairs to bridges to help maintain their reliability and integrity to assure the continued safety of the traveling public.,,,,,,,,Spring 2028,Summer 2030,Spring 2031,8000000
0T2582,,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,Preventative maintenance bridge repairs (locations to-be-determined) on various state highways & parkways in Nassau & Suffolk counties.,Future Development,Spring 2031,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)",This proposed project includes maintenance repairs to bridges to help maintain their reliability and integrity to assure the continued safety of the traveling public.,,,,,,,,Spring 2029,Summer 2031,Spring 2032,8000000
0T2583,,10 LONG ISLAND,BRIDGE REHAB CONTRACT,Bridge Rehabilitation in Nassau and Suffolk.,Future Development,Fall 2029,Yes,Yes,No,Bridge: General Rehab (Preservation),This project proposes to repair bridges in order to help maintain bridge reliability and integrity to assure the continues safety of the traveling public. This type of corrective maintenance helps extend the life of the bridges in Nassau and Suffolk Count,,,,,,,,Fall 2027,Winter 2029/2030,Fall 2030,8000000
0T2584,,10 LONG ISLAND,BRIDGE REHAB CONTRACT,Bridge Rehabilitation in Nassau and Suffolk.,Future Development,Fall 2030,Yes,Yes,No,Bridge: General Rehab (Preservation),This project proposes to repair bridges in order to help maintain bridge reliability and integrity to assure the continues safety of the traveling public. This type of corrective maintenance helps extend the life of the bridges in Nassau and Suffolk Count,,,,,,,,Fall 2028,Winter 2030/2031,Fall 2031,8000000
0T2585,,10 LONG ISLAND,BRIDGE REHAB CONTRACT,Bridge Rehabilitation in Nassau and Suffolk.,Future Development,Fall 2031,Yes,Yes,No,Bridge: General Rehab (Preservation),This project proposes to repair bridges in order to help maintain bridge reliability and integrity to assure the continues safety of the traveling public. This type of corrective maintenance helps extend the life of the bridges in Nassau and Suffolk Count,,,,,,,,Fall 2029,Winter 2031/2032,Fall 2032,8000000
0T2586,,10 LONG ISLAND,PAVEMENT REHABILITATION,"Milling, concrete & asphalt pavement repairs, single course overlay on Veteran's Memorial Highway (NY454) between Jericho Turnpike (NY25) and Old Willets Path in the Town of Smithtown, Suffolk County.",Future Development,Fall 2024,Yes,Yes,No,Pavement: Single Course Overlay,"Project proposes upgrading concrete and asphalt pavement to provide a smoother riding surface and safer travel on Veteran's Memorial Highway (NY454) between Jericho Turnpike (NY25) and Old Willets Path in the Town of Smithtown, Suffolk County.",,,,,,,,Summer 2023,Winter 2024/2025,Summer 2025,6000000
0T2587,,10 LONG ISLAND,PAVEMENT REHABILITATION,"Milling, concrete & asphalt pavement repairs, single course overlay (locations to-be-determined) on various state highways in Nassau and Suffolk counties.",Future Development,Fall 2025,Yes,Yes,No,Pavement: Single Course Overlay,Project proposes upgrading concrete and asphalt pavement to provide a smoother riding surface and safer travel. Locations to be determined on various state highways in Nassau and Suffolk Counties.,,,,,,,,Summer 2024,Winter 2025/2026,Fall 2026,10000000
0T2588,,10 LONG ISLAND,PAVEMENT REHABILITATION,"Milling, concrete & asphalt pavement repairs, single course overlay (locations to-be-determined) on various state highways in Nassau and Suffolk counties.",Future Development,Spring 2026,Yes,Yes,No,Pavement: Single Course Overlay,Project proposes upgrading concrete and asphalt pavement to provide a smoother riding surface and safer travel. Locations to be determined on various state highways in Nassau and Suffolk Counties.,,,,,,,,Winter 2024/2025,Summer 2026,Spring 2027,6000000
0T2589,,10 LONG ISLAND,PAVEMENT REHABILITATION,"Milling, concrete & asphalt pavement repairs, single course overlay (locations to-be-determined) on various state highways in Nassau and Suffolk counties.",Future Development,Fall 2027,Yes,Yes,No,Pavement: Single Course Overlay,Project proposes upgrading concrete and asphalt pavement to provide a smoother riding surface and safer travel. Locations to be determined on various state highways in Nassau and Suffolk Counties.,,,,,,,,Summer 2026,Winter 2027/2028,Fall 2028,12000000
0T2590,,10 LONG ISLAND,PAVEMENT REHABILITATION,"Milling, concrete & asphalt pavement repairs, single course overlay (locations to-be-determined) on various state highways in Nassau and Suffolk counties.",Future Development,Fall 2028,Yes,Yes,No,Pavement: Single Course Overlay,Project proposes upgrading concrete and asphalt pavement to provide a smoother riding surface and safer travel. Locations to be determined on various state highways in Nassau and Suffolk Counties.,,,,,,,,Summer 2027,Winter 2028/2029,Fall 2029,12000000
0T2591,,10 LONG ISLAND,PAVEMENT REHABILITATION,"Milling, concrete & asphalt pavement repairs, single course overlay (locations to-be-determined) on various state highways in Nassau and Suffolk counties.",Future Development,Fall 2029,Yes,Yes,No,Pavement: Single Course Overlay,Project proposes upgrading concrete and asphalt pavement to provide a smoother riding surface and safer travel. Locations to be determined on various state highways in Nassau and Suffolk Counties.,,,,,,,,Summer 2028,Winter 2029/2030,Fall 2030,12000000
0T2592,,10 LONG ISLAND,PAVEMENT REHABILITATION,"Milling, concrete & asphalt pavement repairs, single course overlay (locations to-be-determined) on various state highways in Nassau and Suffolk counties.",Future Development,Fall 2030,Yes,Yes,No,Pavement: Single Course Overlay,Project proposes upgrading concrete and asphalt pavement to provide a smoother riding surface and safer travel. Locations to be determined on various state highways in Nassau and Suffolk Counties.,,,,,,,,Summer 2029,Winter 2030/2031,Fall 2031,12000000
0T2593,,10 LONG ISLAND,PAVEMENT REHABILITATION,"Milling, concrete & asphalt pavement repairs, single course overlay (locations to-be-determined) on various state highways in Nassau and Suffolk counties.",Future Development,Fall 2031,Yes,Yes,No,Pavement: Single Course Overlay,Project proposes upgrading concrete and asphalt pavement to provide a smoother riding surface and safer travel. Locations to be determined on various state highways in Nassau and Suffolk Counties.,,,,,,,,Summer 2030,Winter 2031/2032,Fall 2032,12000000
0T2599,,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,Preventative maintenance bridge repairs (locations to-be-determined) on various state highways & parkways in Nassau & Suffolk counties.,Future Development,Fall 2024,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)",This proposed project includes maintenance repairs to bridges to help maintain their reliability and integrity to assure the continued safety of the traveling public.,,,,,,,,Summer 2021,Winter 2024/2025,Winter 2025/2026,7100000
0T2602,,10 LONG ISLAND,RUSTIC RAIL REPLACEMENT,"Replace rustic guiderail sections at Glen Cove Rd Helen St to NY107, NY107 Glen Cove Rd to Pulaski St. and at ramps NSP EB to Shelter Rock Rd NB and Shelter Rock Rd SB to NSP EB.  City of Glen Cove, Towns of North Hempstead and Oyster Bay in Nassau C",Future Development,Spring 2024,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing rustic guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public on Glen Cove Road Hele",,,,,,,,Winter 2022/2023,Summer 2024,Summer 2025,10300000
